Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Category,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Parallel Universe,Special?,Error Immune,Show Gold,Appears For Parts,Hide Reuseable,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Script: On any equipment use,Script: Before execute,Script: On Snap,Script: On Fury,Script: On any countdown reduce
FK 47_weakened,Do [sword]5 damage|[gray](unusable after turn 2),1,attack(5);,Steal,NORMAL|NORMAL,9,WEAPON,GREEN,,,,_damage,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,if(turn > 2) {e.availablethisturn = false;},,,,,,,
Switchblade,Do [sword]<d6> damage,1,attack(d);,Neutron Star,EVEN,,WEAPON,RED,change_requirements,change_power,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,trace(e.getslots()); if(e.getslots()[0] == ~EVEN~) { trace(~changed to odd & free1~); e.changeslots([~ODD~|~FREE1~]);  } else { trace(~changed to even~);  e.changeslots([~EVEN~]);  },,,,,,,
Switchblade_upgraded,Do [sword]<d6> damage[;]|+1 if dice is odd,1,if (d % 2 == 1) { attack(d + 1); } else {attack(d);},Neutron Star,NORMAL,,WEAPON,RED,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Switchblade_downgraded,Do [sword]<d6> damage,1,attack(d);,Neutron Star,ODD,,WEAPON,RED,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Power Fantasy,Do [sword]999 damage,1,attack(999);,Catapult,ODD|ODD,9,ITEM,PURPLE,change_power,change_function,,none,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Power Fantasy_upgraded,Do [sword]999 damage,1,attack(999);,Catapult,ODD|ODD,7,ITEM,PURPLE,,,,none,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Power Fantasy_downgraded,Do [sword]1 damage,1,attack(1);,Catapult,ODD|ODD,10,ITEM,PURPLE,,,,none,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Heavenly Nectar,Recover [heal]<d6> health|for both you and enemy,2,attackself(-d); attack(-d);,Recover,NORMAL,,ITEM,GREEN,change_power,change_function,,_heal,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Heavenly Nectar_upgraded,Recover [heal]<double> health|for both you and enemy,2,attackself(-d * 2); attack(-d * 2);,Recover,NORMAL,,ITEM,GREEN,,,,_heal,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Heavenly Nectar_downgraded,Recover [heal]<d6> health|for you[;] [heal]<double> for enemy,2,attackself(-d); attack(-d * 2);,Recover,NORMAL,,ITEM,GREEN,,,,_heal,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Gas Lamp,Return dice. In [jinx]2 turns[;]|return them again,1,givedice([d|d]); jinx(~Gas Lamp~|~receive two %VAR%s~|~Receive two %VAR%s~|~inflict(\~stash\~+%VAR%|2); sfx(\~magic_gaindice\~);~|self|self|2|d);,Replicate,DOUBLES|DOUBLES,,ITEM,PINK,change_power,change_function,,,0,YES,NO,YES,NO,NO,NO,NO,NO,1,,,,,,,,,,
Gas Lamp_upgraded,Return dice. In [jinx]2 turns[;]|return them again,1,givedice([actualdice[0].basevalue|actualdice[1].basevalue]); jinx(~Gas Lamp+~|~receive some dice~|~Receive some dice~|~if(\~%VAR%\~.substr(0|1) == \~%VAR%\~.substr(1|1)) { inflict(\~stash\~ + \~%VAR%\~.substr(0|1)|2); } else { inflict(\~stash\~ + \~%VAR%\~.substr(0|1)); inflict(\~stash\~ + \~%VAR%\~.substr(1|1)); } sfx(\~magic_gaindice\~);~|self|self|2|(actualdice[0].basevalue * 10) + actualdice[1].basevalue);,Replicate,NORMAL|NORMAL,8,ITEM,PINK,,,,,0,YES,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Gas Lamp_downgraded,Return a dice. In [jinx]2 turns[;]|return both dice,1,givedice(d); jinx(~Gas Lamp-~|~receive two %VAR%s~|~Receive two %VAR%s~|~inflict(\~stash\~+%VAR%|2); sfx(\~magic_gaindice\~);~|self|self|2|d);,Replicate,DOUBLES|DOUBLES,,ITEM,PINK,,,,,0,YES,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Hyper Beam,Do [sword]7 damage[;]|end your turn,1,attack(7); self.endturnnow();,Plasma Gun,REQUIRE5,,WEAPON,GRAY,change_power,change_power,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Hyper Beam_upgraded,Do [sword]9 damage[;]|end your turn,1,attack(9); self.endturnnow();,Plasma Gun,REQUIRE5,,WEAPON,GRAY,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Hyper Beam_downgraded,Do [sword]5 damage[;]|end your turn,1,attack(5); self.endturnnow();,Plasma Gun,REQUIRE5,,WEAPON,GRAY,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Russian Roulette,Do [sword]<double> damage to|either you or the enemy,1,var odds = 50; if(getstatusself(~luck~) > 0){ odds = 100; } else if(getstatusself(~luck+~) > 0){ odds = 100; } if(chance(odds)) { attackself(d); } else { attack(d); },Drunken Boxing,NORMAL,,WEAPON,RED,add3,change_function,,_damage,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Russian Roulette_downgraded,Do [sword]<double> damage to yourself,1,attackself(d);,Drunken Boxing,NORMAL,,WEAPON,RED,,,,_damage,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Facepalm,Just straight up take [sword]<d6>|damage. See if I care.,1,attackself(d);,Catapult,NORMAL,,WEAPON,RED,add3,change_power,,_damage,0,YES,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Facepalm_downgraded,Just straight up take [sword]<d6>|damage. See if I care.,1,attackself(d);,Catapult,NORMAL|FREE6,,WEAPON,RED,,,,_damage,0,YES,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Zombocom,Do [sword]<d6>[;] inflict 1 to 4|of a random effect|[90%]''The unattainable is unknown''[],2,var sl = [CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON|BLIND|~vanish~]; var s = e.getvar(~statustoinflict~); trace(e.getvar(~statustoinflict~)); trace(s); trace(sl[s]); var r = e.getvar(~amounttoinflict~); trace(e.getvar(~amounttoinflict~)); trace(r); if(sl[s] == ~vanish~) { if(getstatus(~ncr_vanishall~) < 1 && getstatus(VANISH) < 1 && getstatus(~ncr_vanishlegacy~) < 1) { sfx(~_vanish~); inflict(~ncr_vanish~|r); inflict(~ncr_internalvanish~|r); var dovanish = new elements.Skill(~Vanishthing~); dovanish.execute(self|target); } else { self.textparticle(~No effect!~); } } else { inflict(sl[s]|r); sfx(~_~ + sl[s]);  } attack(d);,Overload,REQUIRE5|REQUIRE5,,WEAPON,PINK,change_power,change_function,,_damage,0,NO,NO,YES,YES,NO,NO,NO,NO,,e.changecolour(~PINK~);,e.changecolour(~PINK~);,e.changeslots([rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])|rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])]); var sl = [0|1|2|2|2|2|3|3|3|3|4|4|4|5|5|5|6|6|7]; for(i in 0...6) { sl = sl.concat(sl); } sl.push(8); var s = rand(sl); trace(sl); trace(~hi~); trace(s); var r = rand([1|2|2|2|3|3|4]); trace(r); e.setvar(~statustoinflict~|s); trace(e.getvar(~statustoinflict~)); e.setvar(~amounttoinflict~|r); trace(e.getvar(~amounttoinflict~)); if(s == 7 # s == 0 # s == 1) { e.changecolour(~GRAY~); } if(s == 2) { e.changecolour(~RED~); } if(s == 3) { e.changecolour(~BLUE~); } if(s == 4) { e.changecolour(~ORANGE~); } if(s == 5) { e.changecolour(~YELLOW~); } if(s == 6) { e.changecolour(~PURPLE~); } if(s == 8) { e.changecolour(~PINK~); },,,,,,,
Zombocom_downgraded,Do [sword]<d6> damage|[90%]''The only limit is yourself''[],2,attack(d);,Overload,REQUIRE5|REQUIRE5,,WEAPON,PINK,,,,_damage,0,NO,NO,YES,YES,NO,NO,NO,NO,,e.changecolour(~PINK~);,e.changecolour(~PINK~);,e.changeslots([rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])|rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])]),,,,,,,
Zombocom_upgraded,Do [sword]<d6>[;] inflict 1 to 4|of a random effect|[90%]''You can do anything at all''[],2,var sl = [CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON|BLIND|~vanish~]; var s = e.getvar(~statustoinflict~); trace(e.getvar(~statustoinflict~)); trace(s); trace(sl[s]); var r = e.getvar(~amounttoinflict~); trace(e.getvar(~amounttoinflict~)); trace(r); if(sl[s] == ~vanish~) { if(getstatus(~ncr_vanishall~) < 1 && getstatus(VANISH) < 1 && getstatus(~ncr_vanishlegacy~) < 1) { sfx(~_vanish~); inflict(~ncr_vanish~|r); inflict(~ncr_internalvanish~|r); var dovanish = new elements.Skill(~Vanishthing~); dovanish.execute(self|target); } else { self.textparticle(~No effect!~); } } else { inflict(sl[s]|r); sfx(~_~ + sl[s]);  } attack(d);,Overload,NORMAL|NORMAL,10,WEAPON,PINK,,,,_damage,0,NO,NO,YES,YES,NO,NO,NO,NO,,e.changecolour(~PINK~);,e.changecolour(~PINK~);,e.needstotal = rand([2|3|4|5|6|7|8|9|10|11|12]); var sl = [0|1|2|2|2|2|3|3|3|3|4|4|4|5|5|5|6|6|7]; for(i in 0...6) { sl = sl.concat(sl); } sl.push(8); var s = rand(sl); trace(sl); trace(~hi~); trace(s); var r = rand([1|2|2|2|3|3|4]); trace(r); e.setvar(~statustoinflict~|s); trace(e.getvar(~statustoinflict~)); e.setvar(~amounttoinflict~|r); trace(e.getvar(~amounttoinflict~)); if(s == 7 # s == 0 # s == 1) { e.changecolour(~GRAY~); } if(s == 2) { e.changecolour(~RED~); } if(s == 3) { e.changecolour(~BLUE~); } if(s == 4) { e.changecolour(~ORANGE~); } if(s == 5) { e.changecolour(~YELLOW~); } if(s == 6) { e.changecolour(~PURPLE~); } if(s == 8) { e.changecolour(~PINK~); },,,,,,,
Obmozcom,Do [sword]6[;] inflict 2 or 3|of a random effect|[90%]''The vast universe is available''[],2,var sl = [CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON|BLIND|~vanish~]; var s = e.getvar(~statustoinflict~); trace(e.getvar(~statustoinflict~)); trace(s); trace(sl[s]); var r = e.getvar(~amounttoinflict~); trace(e.getvar(~amounttoinflict~)); trace(r); if(sl[s] == ~vanish~) { if(getstatus(~ncr_vanishall~) < 1 && getstatus(VANISH) < 1 && getstatus(~ncr_vanishlegacy~) < 1) { sfx(~_vanish~); inflict(~ncr_vanish~|r); inflict(~ncr_internalvanish~|r); var dovanish = new elements.Skill(~Vanishthing~); dovanish.execute(self|target); } else { self.textparticle(~No effect!~); } } else { inflict(sl[s]|r); sfx(~_~ + sl[s]);  } attack(6);,Overload,REQUIRE5|REQUIRE5,,WEAPON,PINK,change_power,change_function,,_damage,0,NO,NO,YES,YES,NO,NO,NO,NO,,e.changecolour(~PINK~);,e.changecolour(~PINK~);,e.changeslots([rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])|rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])]); var sl = [0|1|2|2|2|2|3|3|3|3|4|4|4|5|5|5|6|6|7]; for(i in 0...6) { sl = sl.concat(sl); } sl.push(8); var s = rand(sl); trace(sl); trace(~hi~); trace(s); var r = rand([2|2|2|2|3|3|3]); trace(r); e.setvar(~statustoinflict~|s); trace(e.getvar(~statustoinflict~)); e.setvar(~amounttoinflict~|r); trace(e.getvar(~amounttoinflict~)); if(s == 7 # s == 0 # s == 1) { e.changecolour(~GRAY~); } if(s == 2) { e.changecolour(~RED~); } if(s == 3) { e.changecolour(~BLUE~); } if(s == 4) { e.changecolour(~ORANGE~); } if(s == 5) { e.changecolour(~YELLOW~); } if(s == 6) { e.changecolour(~PURPLE~); } if(s == 8) { e.changecolour(~PINK~); },,,,,,,
Obmozcom_downgraded,Do [sword]6 damage|[90%]''You'll always be welcome at Obmozcom''[],2,attack(6);,Overload,REQUIRE5|REQUIRE5,,WEAPON,PINK,,,,_damage,0,NO,NO,YES,YES,NO,NO,NO,NO,,e.changecolour(~PINK~);,e.changecolour(~PINK~);,e.changeslots([rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])|rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])]),,,,,,,
Obmozcom_upgraded,Do [sword]6[;] inflict 2 or 3|of a random effect|[90%]''Obmozcom is omnipotent''[],2,var sl = [CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON|BLIND|~vanish~]; var s = e.getvar(~statustoinflict~); trace(e.getvar(~statustoinflict~)); trace(s); trace(sl[s]); var r = e.getvar(~amounttoinflict~); trace(e.getvar(~amounttoinflict~)); trace(r); if(sl[s] == ~vanish~) { if(getstatus(~ncr_vanishall~) < 1 && getstatus(VANISH) < 1 && getstatus(~ncr_vanishlegacy~) < 1) { sfx(~_vanish~); inflict(~ncr_vanish~|r); inflict(~ncr_internalvanish~|r); var dovanish = new elements.Skill(~Vanishthing~); dovanish.execute(self|target); } else { self.textparticle(~No effect!~); } } else { inflict(sl[s]|r); sfx(~_~ + sl[s]);  } attack(6);,Overload,NORMAL|NORMAL,10,WEAPON,PINK,,,,_damage,0,NO,NO,YES,YES,NO,NO,NO,NO,,e.changecolour(~PINK~);,e.changecolour(~PINK~);,e.needstotal = rand([2|3|4|5|6|7|8|9|10|11|12]); var sl = [0|1|2|2|2|2|3|3|3|3|4|4|4|5|5|5|6|6|7]; for(i in 0...6) { sl = sl.concat(sl); } sl.push(8); var s = rand(sl); trace(sl); trace(~hi~); trace(s); var r = rand([2|2|2|2|3|3|3]); trace(r); e.setvar(~statustoinflict~|s); trace(e.getvar(~statustoinflict~)); e.setvar(~amounttoinflict~|r); trace(e.getvar(~amounttoinflict~)); if(s == 7 # s == 0 # s == 1) { e.changecolour(~GRAY~); } if(s == 2) { e.changecolour(~RED~); } if(s == 3) { e.changecolour(~BLUE~); } if(s == 4) { e.changecolour(~ORANGE~); } if(s == 5) { e.changecolour(~YELLOW~); } if(s == 6) { e.changecolour(~PURPLE~); } if(s == 8) { e.changecolour(~PINK~); },,,,,,,
Hijack,Split a dice in two[;]|on 1[;] also do [sword]3 damage,1,if(d==1){ e.castdirection = 1; attack(3); sfx(~_damage~); } else { e.castdirection = 0; } givedice(split(d)| ~splitdice~);,Magic Lockpick,NORMAL,,ITEM,GREEN,change_power,change_function,,,0,YES,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Hijack_upgraded,Split a <d6>-1 in two[;]|on 1[;] also do [sword]3 damage,1,if(d==1 # d==2){ e.castdirection = 1; attack(3); sfx(~_damage~); givedice(split(d)|~splitdice~); } else { e.castdirection = 0;  givedice(split(d-1)| ~splitdice~); },Magic Lockpick,NORMAL,,ITEM,GREEN,,,,,0,YES,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Hijack_downgraded,Split a dice in two,1,givedice(split(d)| ~splitdice~);,Magic Lockpick,MIN2,,ITEM,GREEN,,,,,0,YES,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Presto,Heal [heal]6 for you and enemy|[gray](once per battle),1,attack(-6); attackself(-6);,Regenerate,REQUIRE1,,ITEM,GREEN,change_power,change_function,,_heal,0,NO,YES,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Presto_upgraded,Heal [heal]6 for you and enemy,1,attack(-6); attackself(-6);,Regenerate,REQUIRE1,,ITEM,GREEN,,,,_heal,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Presto_downgraded,Heal [heal]3 for you and enemy|[gray](once per battle),1,attack(-3); attackself(-3);,Regenerate,REQUIRE1,,ITEM,GREEN,,,,_heal,0,NO,YES,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Tension,Gain [fury]2 fury[;] end your turn|[gray](once per battle),1,inflictself(FURY|2); self.endturnnow();,Fury,NORMAL|NORMAL,9,ITEM,RED,change_power,change_power,,_fury,0,YES,YES,NO,NO,NO,NO,NO,NO,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Tension_upgraded,Gain [fury]2 fury[;] end your turn|[gray](once per battle),1,inflictself(FURY|2); self.endturnnow();,Fury,COUNTDOWN,9,ITEM,RED,,,,_fury,0,YES,YES,NO,NO,NO,NO,NO,NO,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Tension_downgraded,Gain [fury]1 fury[;] end your turn|[gray](once per battle),1,inflictself(FURY); self.endturnnow();,Fury,NORMAL|NORMAL,9,ITEM,RED,,,,_fury,0,YES,YES,NO,NO,NO,NO,NO,NO,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Tension_weakened,Gain [fury]1 fury[;] end your turn|[gray](once per battle),1,inflictself(FURY); self.endturnnow();,Fury,COUNTDOWN,9,ITEM,RED,,,,_fury,0,YES,YES,NO,NO,NO,NO,NO,NO,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
First Stand,At the start of the first|turn[;] gain [dodge]Dodge,1,,Quick Thinking,,,ITEM,YELLOW,change_power,noeffect,,none,0,YES,NO,YES,NO,NO,NO,NO,NO,,,e.changecolour(~YELLOW~);,,if(turn == 1) { e.animate(~flashandshake~); e.changecolour(~GRAY~); inflictself(DODGE); sfx(~_dodge~); },,,,,,
First Stand_upgraded,At the start of the first|two turns[;] gain [dodge]Dodge,1,,Quick Thinking,,,ITEM,YELLOW,,,,none,0,YES,NO,YES,NO,NO,NO,NO,NO,,,e.changecolour(~YELLOW~);,,if(turn == 1 # turn == 2) { e.animate(~flashandshake~); inflictself(DODGE); sfx(~_dodge~); } if(turn == 2) { e.changecolour(~GRAY~); },,,,,,
Buster Knife,Do [sword]<d6> damage|[gray](immune to errors)|[gray](Reusable),1,attack(d);,Pea Gun,MAX2|FREE1,,WEAPON,GRAY,increaserange,change_function,,_damage,-1,NO,NO,NO,NO,YES,YES,NO,NO,,,,,,,,,,,
Buster Knife_downgraded,Do [sword]<d6> damage|[gray](immune to errors)|[gray](Reusable),1,attack(d);,Pea Gun,MAX2|FREE1,,WEAPON,GRAY,,,,_damage,2,NO,NO,NO,NO,YES,YES,NO,NO,,,,,,,,,,,
Keyhole,Flip and split die[;]|flip results,2,var s = split(7-d); givedice([7-s[0]|7-s[1]]);,Clone Device,NORMAL,,ITEM,,reducesize,complicate,,splitdice,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Keyhole_weakened,Flip and split die[;]|flip results,1,var s = split(7-d); givedice([7-s[0]|7-s[1]]);,Clone Device,MAX3,,ITEM,,,,,splitdice,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Cookie Cake,Repeat next action twice,1,inflictself(FURY|2);,Fury,COUNTDOWN,24,ITEM,ORANGE,change_power,change_function,fury,_fury,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake_upgraded,Repeat next action twice,1,inflictself(FURY|2);,Fury,COUNTDOWN,18,ITEM,ORANGE,,,,_fury,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake_downgraded,Repeat next action,1,inflictself(FURY);,Fury,COUNTDOWN,24,ITEM,ORANGE,,,,_fury,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake_weakened,Repeat next action,1,inflictself(FURY);,Fury,COUNTDOWN,18,ITEM,ORANGE,,,,_fury,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake?,Repeat next action twice[;]|but disable it next turn,1,inflictself(FURY|2);,Fury,COUNTDOWN,24,ITEM,ORANGE,change_power,change_function,,_fury,0,YES,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake?_upgraded,Repeat next action twice[;]|but disable it next turn,1,inflictself(FURY|2);,Fury,COUNTDOWN,18,ITEM,ORANGE,,,,_fury,0,YES,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake?_downgraded,Repeat next action[;]but|disable it next turn,1,inflictself(FURY);,Fury,COUNTDOWN,24,ITEM,ORANGE,,,,_fury,0,YES,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake?_weakened,Repeat next action[;]but|disable it next turn,1,inflictself(FURY);,Fury,COUNTDOWN,18,ITEM,ORANGE,,,,_fury,0,YES,NO,YES,NO,NO,NO,NO,NO,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Big Knife,[sword]<d6> - 3[;] get dice - 3|[gray](Reusable),1,if(d < 4){ self.textparticle(~No effect!~); sfx(~_whoosh~); } else { attack(d - 3); givedice(d - 3); },Underwhelm,MIN4,,WEAPON,RED,change_power,change_function,,_damage,3,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Big Knife_upgraded,[sword]<d6> - 2[;] get dice - 2|[gray](Reusable),1,if(d < 3){ self.textparticle(~No effect!~); sfx(~_whoosh~); } else { attack(d - 2); givedice(d - 2); },Underwhelm,MIN4,,WEAPON,RED,,,,_damage,3,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Big Knife_downgraded,[sword]<d6> - 4[;] get dice - 4|[gray](Reusable),1,if(d < 5){ self.textparticle(~No effect!~); sfx(~_whoosh~); } else { attack(d - 4); givedice(d - 4); },Underwhelm,MIN4,,WEAPON,RED,,,,_damage,3,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Biohazard,Inflict [poison]<d6> poison|[gray](cooldown of 3 turns),1,inflict(POISON|d); e.setvar(~biocooldown~|3);,Poison Arrow,NORMAL,,WEAPON,PURPLE,change_power,complicate,,_poison,0,NO,NO,NO,NO,NO,NO,NO,NO,,e.setvar(~biocooldown~[;]0);,e.setvar(~biocooldown~[;]0);,if(e.getvar(~biocooldown~) > 0) {e.availablethisturn = false; e.setvar(~biocooldown~[;]e.getvar(~biocooldown~) - 1); },,,,,,,
Biohazard_upgraded,Inflict [poison]<d6> poison|[gray](cooldown of 2 turns),1,inflict(POISON|d); e.setvar(~biocooldown~|2);,Poison Arrow,NORMAL,,WEAPON,PURPLE,,,,_poison,0,NO,NO,NO,NO,NO,NO,NO,NO,,e.setvar(~biocooldown~[;]0);,e.setvar(~biocooldown~[;]0);,if(e.getvar(~biocooldown~) > 0) {e.availablethisturn = false; e.setvar(~biocooldown~[;]e.getvar(~biocooldown~) - 1); },,,,,,,
