Name,Description,Requirements,Script
Delude,Inflict [vanish]1 vanish,,//inflict(~ncr_vanish~); sfx(~_vanish~);
Strobe Light,Vanish a random amount,,//var r = rand([1|1|1|1|2|2|2|3|3|4|5]); inflict(~ncr_vanish~| r); sfx(~_vanish~);
Hadoken,Do [vanish]3 vanish damage,,//attack(3|VANISH); sfx(~_vanish~);
Briar Bush,Gain [thorns]2 thorns,,inflictself(THORNS|2); sfx(~_thorns~);
Aura Channeling,Vanish duplicate dice,,//inflict(VANISH);
THE [200%]GASDGFET,[200%]THE [300%]SBETST [200%]GDAGET IN DICE DUNGENS,,attack(2); sfxdamage(999);
Light Switch,Copy a dice for next turn,,var dicelist = []; for (mydice in self.dicepool){ if (mydice.available()){ dicelist.push(mydice); }} if(dicelist.length > 0) { shuffle(dicelist); inflictself(~stash~+dicelist[0]); inflictself(~ncr_lightswitch~+dicelist[0]); sfx(~magic~); }
Install Evony,In [jinx]1[;] equipment uses raise CPU,,jinx(~Install Evony~|~each equipment use will raise CPU by 1~|~Each equipment use will raise CPU by 1~|~inflict(\~cpuvirus\~| 1); sfx(\~magic\~);~|self|self|1|0); sfx(~_thinghappens~);
impulse 101,In [jinx]1[;] increase Jackpot range,,jinx(~impulse 101~|~increase Jackpot range~|~Increase Jackpot range~|~target.roll_range += 1; sfx(\~useitem\~);~|self|self|1|0); sfx(~_thinghappens~);
Less Fluff Old,Scrap a card now (reusable),,var cardlist = []; for(eq in self.equipment){ if(eq.ready && eq.name != ~Inventor Gadgets~) { cardlist.push(eq); } } if(cardlist.length > 0) { shuffle(cardlist); Gadget.givegadget(self|cardlist[0].gadget|true); removeequipment(cardlist[0].name); sfx(~_cure~); cardlist.remove(cardlist[0]); } if (cardlist.length > 0) { Gadget.reactivate(self|~Less Fluff~); } //  self.textparticle(~No cards left!~);
Less Fluff Old 2,Scrap first equipment now,,var cardlist = []; for(eq in self.equipment){ if(eq.ready && eq.name != self.getskillcard().name /*&& eq.gadget != ~Broken Gadget~*/) { cardlist.push(eq); } } if(cardlist.length > 0) { Gadget.givegadget(self|cardlist[0].gadget|true); removeequipment(cardlist[0].name); sfx(~_cure~); cardlist.remove(cardlist[0]); self.getskillcard().animate(~flashandshake~); }
