Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Category,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Parallel Universe,Special?,Error Immune,Show Gold,Appears For Parts,Hide Reuseable,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury
Hail Bat_downgraded,Do [sword]<d6> damage[;]|but [ice]Freeze yourself twice,2,attack(d); inflictself(~ice~|2); sfxdamage(d); sfx(~_ice~); var dicelist = []; var t = 0; for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn){ dicelist.push(mydice); } } dicelist.sort(function(a|b) return -1 * (a.basevalue - b.basevalue)); for(i in 0...2) { dicelist[i].animate(~ice~|t); t += 0.1; },Flash Freeze,NORMAL|FREE3,,WEAPON,BRIGHTCYAN,,,,none,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Hail Bat_weakened,Do [sword]<d6> damage[;]|but [ice]Freeze yourself twice,1,attack(d); inflictself(~ice~|2); sfxdamage(d); sfx(~_ice~); var dicelist = []; var t = 0; for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn){ dicelist.push(mydice); } } dicelist.sort(function(a|b) return -1 * (a.basevalue - b.basevalue)); for(i in 0...2) { dicelist[i].animate(~ice~|t); t += 0.1; },Flash Freeze,NORMAL|FREE3,,WEAPON,BRIGHTCYAN,,,,none,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Flaming Sword I Guess,Do [sword]<d6> damage[;]|but [fire]Burn yourself,2,attack(d); inflictself(~fire~); sfxdamage(d); sfx(~_fire~); var t = 0; for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn){ dicelist.push(mydice); } } shuffle(dicelist); for (i in 0...1) { dicelist[i].animate(~fire~|t); t += 0.2; } // not technically burn - burns a random dice instead of your first dice. however normally burn burning your first dice is random because it happens before you know what your first dice is,Blowtorch,NORMAL|FREE3,,WEAPON,RED,reducesize,change_function,,none,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Flaming Sword I Guess_downgraded,Do [sword]<d6> damage[;]|but [fire]Burn yourself twice,2,attack(d); inflictself(~fire~|2); sfxdamage(d); sfx(~_fire~); var t = 0; for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn){ dicelist.push(mydice); } } shuffle(dicelist); for (i in 0...2) { dicelist[i].animate(~fire~|t); t += 0.2; },Blowtorch,NORMAL|FREE3,,WEAPON,RED,,,,none,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Flaming Sword I Guess_weakened,Do [sword]<d6> damage[;]|but [fire]Burn yourself twice,1,attack(d); inflictself(~fire~|2); sfxdamage(d); sfx(~_fire~); var t = 0; for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn){ dicelist.push(mydice); } } shuffle(dicelist); for (i in 0...2) { dicelist[i].animate(~fire~|t); t += 0.2; },Blowtorch,NORMAL|FREE3,,WEAPON,RED,,,,none,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Hail Bat?,Do [sword]<d6> damage[;]|but [ice]Freeze yourself,2,attack(d); inflictself(~alternate_ice~); sfxdamage(d); sfx(~_ice~); for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn) { mydice.animate(~alternate_ice~); } },Flash Freeze,NORMAL|FREE3,,WEAPON,BRIGHTCYAN,reducesize,change_function,,none,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Hail Bat?_downgraded,Do [sword]<d6> damage[;]|but [ice]Freeze yourself twice,2,attack(d); inflictself(~alternate_ice~|2); sfxdamage(d); sfx(~_ice~); sfx(~_ice~|0.2); for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn) { mydice.animate(~alternate_ice~);  mydice.animate(~alternate_ice~|0.2); } },Flash Freeze,NORMAL|FREE3,,WEAPON,BRIGHTCYAN,,,,none,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Hail Bat?_weakened,Do [sword]<d6> damage[;]|but [ice]Freeze yourself twice,1,attack(d); inflictself(~alternate_ice~|2); sfxdamage(d); sfx(~_ice~); sfx(~_ice~|0.2); for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn) { mydice.animate(~alternate_ice~);  mydice.animate(~alternate_ice~|0.2); } },Flash Freeze,NORMAL|FREE3,,WEAPON,BRIGHTCYAN,,,,none,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Flaming Sword I Guess?,Do [sword]<d6> damage[;]|but [fire]Burn yourself,2,attack(d); inflictself(~alternate_fire~); sfxdamage(d); sfx(~_fire~); var t = 0; for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn){ dicelist.push(mydice); } } shuffle(dicelist); for (i in 0...1) { dicelist[i].animate(~alternate_fire~|t); t += 0.2; },Blowtorch,NORMAL|FREE3,,WEAPON,RED,reducesize,change_function,,none,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Flaming Sword I Guess?_downgraded,Do [sword]<d6> damage[;]|but [fire]Burn yourself twice,2,attack(d); inflictself(~alternate_fire~|2); sfxdamage(d); sfx(~_fire~); var t = 0; for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn){ dicelist.push(mydice); } } shuffle(dicelist); for (i in 0...2) { dicelist[i].animate(~alternate_fire~|t); t += 0.2; },Blowtorch,NORMAL|FREE3,,WEAPON,RED,,,,none,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Flaming Sword I Guess?_weakened,Do [sword]<d6> damage[;]|but [fire]Burn yourself twice,1,attack(d); inflictself(~alternate_fire~|2); sfxdamage(d); sfx(~_fire~); var t = 0; for (mydice in self.dicepool) { if (mydice.available() && !mydice.burn){ dicelist.push(mydice); } } shuffle(dicelist); for (i in 0...2) { dicelist[i].animate(~alternate_fire~|t); t += 0.2; },Blowtorch,NORMAL|FREE3,,WEAPON,RED,,,,none,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
