Name,Description,Witch Spell,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Script: On Dodge,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Script: On any equipment use,Script: Before execute,Script: On Snap,Script: On Fury,Script: On any countdown reduce
FK 47_weakened,Do [sword]6 damage|[gray](unusable after turn 2),,1,attack(6);,Steal,NORMAL|NORMAL,8,GREEN,,,,_damage,0,NO,NO,excludefromrandomlists,,,,if(turn > 2) {e.availablethisturn = false; e.unavailabledetails = [~This card is not available~|~after your second turn.~];},,,,,,,
Switchblade@even,Do [sword]<d6> damage,1,1,attack(d); /*this predates megaquest's switchblade; or at least it was introduced early enough that switchblade hadn't had much association with mq yet. this is a very old mod that just didn't release for a long time*/,Neutron Star,EVEN,,RED,change_requirements,change_power,,_damage,0,NO,NO,,,,,e.rawname = ~Switchblade@odd~; e.rawname_beforesubstitution = ~Switchblade@odd~; e.changeslots([~ODD~|~FREE1~]); e.scriptbeforestartturn = new elements.Equipment(~Switchblade@odd~).scriptbeforestartturn;,,,,,,,
Switchblade@even_upgraded,Do [sword]<d6> damage[;]|+1 if dice is odd,,1,if (d % 2 == 1) { attack(d + 1); } else {attack(d);},Neutron Star,NORMAL,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,
Switchblade@even_downgraded,Do [sword]<d6> damage,,1,attack(d);,Neutron Star,REQUIRE4,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,
Switchblade@even_weakened,Do [sword]<d6> damage[;]|+1 if dice is odd,,1,if (d % 2 == 1) { attack(d + 1); } else {attack(d);},Neutron Star,RANGE34,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,
Switchblade@odd,Do [sword]<d6> damage,1,1,attack(d);,Neutron Star,ODD|FREE1,,RED,change_requirements,change_power,,_damage,0,NO,NO,,,,,e.rawname = ~Switchblade@even~; e.rawname_beforesubstitution = ~Switchblade@even~;  e.changeslots([~EVEN~]); e.scriptbeforestartturn = new elements.Equipment(~Switchblade@even~).scriptbeforestartturn;,,,,,,,
Switchblade@odd_upgraded,Do [sword]<d6> damage[;]|+1 if dice is odd,,1,if (d % 2 == 1) { attack(d + 1); } else {attack(d);},Neutron Star,NORMAL,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,
Switchblade@odd_downgraded,Do [sword]<d6> damage,,1,attack(d);,Neutron Star,REQUIRE3|FREE1,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,
Switchblade@odd_weakened,Do [sword]<d6> damage[;]|+1 if dice is odd,,1,if (d % 2 == 1) { attack(d + 1); } else {attack(d);},Neutron Star,RANGE34,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,
Power Fantasy,Do [sword]999 damage,,1,attack(999); sfxdamage(target|999);,Catapult,ODD|ODD,9,PURPLE,change_power,change_function,,none,0,NO,NO,,,,,,,,,,,,
Power Fantasy_upgraded,Do [sword]999 damage,,1,attack(999); sfxdamage(target|999);,Catapult,ODD|ODD,7,PURPLE,,,,none,0,NO,NO,,,,,,,,,,,,
Power Fantasy_downgraded,Do [sword]1 damage,,1,attack(1); sfxdamage(target|1);,Catapult,ODD|ODD,10,PURPLE,,,,none,0,NO,NO,,,,,,,,,,,,
Heavenly Nectar,Recover [heal]<d6> health|for both you and enemy,1,1,attackself(-d); attack(-d);,Recover,NORMAL,,GREEN,change_power,change_function,,_heal,0,NO,NO,,attackself(-d);,,,,,,,,,,
Heavenly Nectar_upgraded,Recover [heal]<double> health|for both you and enemy,,1,attackself(-d * 2); attack(-d * 2);,Recover,NORMAL,,GREEN,,,,_heal,0,NO,NO,,attackself(-d * 2);,,,,,,,,,,
Heavenly Nectar_downgraded,Recover [heal]<d6> health|for you[;] [heal]<double> for enemy,,1,attackself(-d); attack(-d * 2);,Recover,NORMAL,,GREEN,,,,_heal,0,NO,NO,,attackself(-d);,,,,,,,,,,
Gas Lamp,Return dice. In [jinx]2 turns[;]|return them again,1,1,givedice([d|d]); jinx(~Gas Lamp~|~receive two %VAR%s~|~Receive two %VAR%s~|~inflict(\~stash\~+%VAR%|2); sfx(\~magic_gaindice\~);~|self|self|2|d);,Replicate,DOUBLES|DOUBLES,,PINK,change_power,change_function,,,0,YES,NO,,,,,,,,,,,,
Gas Lamp_upgraded,Return dice. In [jinx]2 turns[;]|return them again,,1,givedice([actualdice[0].basevalue|actualdice[1].basevalue]); jinx(~Gas Lamp+~|~receive a ~ + actualdice[0].basevalue + ~ and a ~ + actualdice[1].basevalue|~Receive a ~ + actualdice[0].basevalue + ~ and a ~ + actualdice[1].basevalue|~if(~ + actualdice[0].basevalue + ~ == ~ + actualdice[1].basevalue + ~) { inflict(\~stash~ + actualdice[0].basevalue + ~\~|2); } else { inflict(\~stash~ + actualdice[0].basevalue + ~\~); inflict(\~stash~ + actualdice[1].basevalue + ~\~); } sfx(\~magic_gaindice\~);~|self|self|2|0);,Replicate,MIN4|MIN4,,PINK,,,,,0,YES,NO,,,,,,,,,,,,
Gas Lamp_downgraded,Return a dice. In [jinx]2 turns[;]|return both dice,,1,givedice(d); jinx(~Gas Lamp-~|~receive two %VAR%s~|~Receive two %VAR%s~|~inflict(\~stash\~+%VAR%|2); sfx(\~magic_gaindice\~);~|self|self|2|d);,Replicate,DOUBLES|DOUBLES,,PINK,,,,,0,YES,NO,,,,,,,,,,,,
Hyper Beam,Do [sword]8 damage[;]|end your turn,1,1,attack(8); self.endturnnow();,Plasma Gun,REQUIRE5,,GRAY,change_power,change_power,,_damage,0,NO,NO,,self.endturnnow();,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Hyper Beam_upgraded,Do [sword]10 damage[;]|end your turn,,1,attack(10); self.endturnnow();,Plasma Gun,REQUIRE5,,GRAY,,,,_damage,0,NO,NO,,self.endturnnow();,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Hyper Beam_downgraded,Do [sword]6 damage[;]|end your turn,,1,attack(6); self.endturnnow();,Plasma Gun,REQUIRE5,,GRAY,,,,_damage,0,NO,NO,,self.endturnnow();,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Russian Roulette,Do [sword]<double> damage to|either you or the enemy,,1,var odds = 50; if(getstatusself(~luck~) > 0){ odds = 100; } else if(getstatusself(~luck+~) > 0){ odds = 100; } if(chance(odds)) { attackself(d * 2); } else { attack(d * 2); },Drunken Boxing,NORMAL,,RED,add3,change_function,,_damage,0,NO,NO,,,,,,,,,,,,
Russian Roulette_downgraded,Do [sword]<double> damage to yourself,,1,attackself(d * 2);,Drunken Boxing,NORMAL,,RED,,,,_damage,0,NO,NO,,,,,,,,,,,,
Very Bad Sword,Just straight up take [sword]<d6>|damage. See if I care.,,1,attackself(d);,Catapult,NORMAL,,RED,add3,change_power,,_damage,0,YES,NO,,,,,,,,,,,,
Very Bad Sword_downgraded,Just straight up take [sword]<d6>|damage. See if I care.,,1,attackself(d);,Catapult,NORMAL|FREE6,,RED,,,,_damage,0,YES,NO,,,,,,,,,,,,
Zombocom,Do [sword]<d6>[;] inflict 1 to 4|of a random effect|[80%][gray]''The unattainable is unknown''[],,2,var sl = [CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON|BLIND|~vanish~]; var s = e.getvar(~statustoinflict~); var r = e.getvar(~amounttoinflict~); if(sl[s] == ~vanish~) { sfx(~_vanish~); inflict(~ncr_vanish~|r);  } else { inflict(sl[s]|r); sfx(~_~ + sl[s]);  } attack(d);,Overload,REQUIRE5|REQUIRE5,,PINK,change_power,change_function,,_damage,0,NO,NO,,,e.changecolour(~PINK~);,e.changecolour(~PINK~);,e.changeslots([rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])|rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])]); var sl = [0|1|2|2|2|2|3|3|3|3|4|4|4|5|5|5|6|6|8|8|7]; var s = rand(sl); var r = rand([1|2|2|2|3|3|4]); e.setvar(~statustoinflict~|s); e.setvar(~amounttoinflict~|r); if(s == 7 # s == 0 # s == 1) { e.changecolour(~GRAY~); } if(s == 2) { e.changecolour(~RED~); } if(s == 3) { e.changecolour(~BLUE~); } if(s == 4) { e.changecolour(~ORANGE~); } if(s == 5) { e.changecolour(~YELLOW~); } if(s == 6) { e.changecolour(~PURPLE~); } if(s == 8) { e.changecolour(~PINK~); },,,,,,,
Zombocom_downgraded,Do [sword]<d6> damage|[80%][gray]''The only limit is yourself''[],,2,attack(d);,Overload,REQUIRE5|REQUIRE5,,PINK,,,,_damage,0,NO,NO,,,e.changecolour(~PINK~);,e.changecolour(~PINK~);,e.changeslots([rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])|rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])]),,,,,,,
Zombocom_upgraded,Do [sword]<d6>[;] inflict 1 to 4|of a random effect|[80%][gray]''You can do anything at Zombocom''[],,2,var sl = [CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON|BLIND|~vanish~]; var s = e.getvar(~statustoinflict~); var r = e.getvar(~amounttoinflict~); if(sl[s] == ~vanish~) { sfx(~_vanish~); inflict(~ncr_vanish~|r);  } else { inflict(sl[s]|r); sfx(~_~ + sl[s]);  } attack(d);,Overload,NORMAL|NORMAL,10,PINK,,,,_damage,0,NO,NO,,,e.changecolour(~PINK~);,e.changecolour(~PINK~);,e.needstotal = rand([2|3|4|5|6|7|8|9|10|11|12]); var sl = [0|1|2|2|2|2|3|3|3|3|4|4|4|5|5|5|6|6|8|8|7]; var s = rand(sl); var r = rand([1|2|2|2|3|3|4]); e.setvar(~statustoinflict~|s); e.setvar(~amounttoinflict~|r); if(s == 7 # s == 0 # s == 1) { e.changecolour(~GRAY~); } if(s == 2) { e.changecolour(~RED~); } if(s == 3) { e.changecolour(~BLUE~); } if(s == 4) { e.changecolour(~ORANGE~); } if(s == 5) { e.changecolour(~YELLOW~); } if(s == 6) { e.changecolour(~PURPLE~); } if(s == 8) { e.changecolour(~PINK~); },,,,,,,
Obmozcom,Do [sword]6[;] inflict 2 or 3|of a random effect|[60%][gray]''Much more well-rounded than Zombocom''[],,2,var sl = [CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON|BLIND|~vanish~]; var s = e.getvar(~statustoinflict~); var r = e.getvar(~amounttoinflict~); if(sl[s] == ~vanish~) { sfx(~_vanish~); inflict(~ncr_vanish~|r);  } else { inflict(sl[s]|r); sfx(~_~ + sl[s]);  } attack(6);,Overload,REQUIRE5|REQUIRE5,,PINK,change_power,change_function,,_damage,0,NO,NO,,,e.changecolour(~PINK~);,e.changecolour(~PINK~);,e.changeslots([rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])|rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])]); var sl = [0|1|2|2|2|2|3|3|3|3|4|4|4|5|5|5|6|6|7]; for(i in 0...1) { sl = sl.concat(sl); } sl.push(8); var s = rand(sl); trace(sl); trace(~hi~); trace(s); var r = rand([2|2|2|2|3|3|3]); trace(r); e.setvar(~statustoinflict~|s); trace(e.getvar(~statustoinflict~)); e.setvar(~amounttoinflict~|r); trace(e.getvar(~amounttoinflict~)); if(s == 7 # s == 0 # s == 1) { e.changecolour(~GRAY~); } if(s == 2) { e.changecolour(~RED~); } if(s == 3) { e.changecolour(~BLUE~); } if(s == 4) { e.changecolour(~ORANGE~); } if(s == 5) { e.changecolour(~YELLOW~); } if(s == 6) { e.changecolour(~PURPLE~); } if(s == 8) { e.changecolour(~PINK~); },,,,,,,
Obmozcom_downgraded,Do [sword]6 damage|[60%][gray]''It's always Zombo this and Zombo that...''[],,2,attack(6);,Overload,REQUIRE5|REQUIRE5,,PINK,,,,_damage,0,NO,NO,,,e.changecolour(~PINK~);,e.changecolour(~PINK~);,e.changeslots([rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])|rand([~REQUIRE1~|~REQUIRE2~|~REQUIRE3~|~REQUIRE4~|~REQUIRE5~|~REQUIRE6~])]),,,,,,,
Obmozcom_upgraded,Do [sword]6[;] inflict 2 or 3|of a random effect|[60%][gray]''Where the vast universe is available to you!''[],,2,var sl = [CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON|BLIND|~vanish~]; var s = e.getvar(~statustoinflict~); var r = e.getvar(~amounttoinflict~); if(sl[s] == ~vanish~) { sfx(~_vanish~); inflict(~ncr_vanish~|r);  } else { inflict(sl[s]|r); sfx(~_~ + sl[s]);  } attack(6);,Overload,NORMAL|NORMAL,10,PINK,,,,_damage,0,NO,NO,,,e.changecolour(~PINK~);,e.changecolour(~PINK~);,e.needstotal = rand([2|3|4|5|6|7|8|9|10|11|12]); var sl = [0|1|2|2|2|2|3|3|3|3|4|4|4|5|5|5|6|6|8|8|7]; var s = rand(sl); var r = rand([2|2|2|2|3|3|3]); e.setvar(~statustoinflict~|s); e.setvar(~amounttoinflict~|r); if(s == 7 # s == 0 # s == 1) { e.changecolour(~GRAY~); } if(s == 2) { e.changecolour(~RED~); } if(s == 3) { e.changecolour(~BLUE~); } if(s == 4) { e.changecolour(~ORANGE~); } if(s == 5) { e.changecolour(~YELLOW~); } if(s == 6) { e.changecolour(~PURPLE~); } if(s == 8) { e.changecolour(~PINK~); },,,,,,,
Hijack,Split a dice in two[;]|on 1[;] do [sword]3 instead,,1,if(d==1){ attack(3); sfxdamage(target|3); }; else { givedice(split(d)| ~splitdice~); };,Pure Evil,NORMAL,,GREEN,change_power,change_function,,,0,YES,NO,,,,,,,,,if(d==1){ e.castdirection = 1; }; else { e.castdirection = -1; };,,,
Hijack_upgraded,Split a dice in two[;]|on 1[;] also do [sword]3 damage,,1,if(d==1){ attack(3); sfxdamage(target|3); }; givedice(split(d)| ~splitdice~);,Pure Evil,NORMAL,,GREEN,,,,,0,YES,NO,,givedice(split(d)| ~splitdice~);,,,,,,,if(d==1){ e.castdirection = 1; }; else { e.castdirection = -1; };,,,
Hijack_downgraded,Split a dice in two,,1,givedice(split(d)| ~splitdice~);,Pure Evil,MIN2,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,
Tension,Gain [fury]2 fury[;] end your turn|[gray](once per battle),2,1,inflictself(FURY|2); self.endturnnow();,Fury,NORMAL|NORMAL,9,RED,change_power,change_power,,_fury,0,YES,YES,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Tension_upgraded,Gain [fury]2 fury[;] end your turn|[gray](once per battle),,1,inflictself(FURY|2); self.endturnnow();,Fury,COUNTDOWN,9,RED,,,,_fury,0,YES,YES,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Tension_downgraded,Gain [fury]1 fury[;] end your turn|[gray](once per battle),,1,inflictself(FURY); self.endturnnow();,Fury,NORMAL|NORMAL,9,RED,,,,_fury,0,YES,YES,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Tension_weakened,Gain [fury]1 fury[;] end your turn|[gray](once per battle),,1,inflictself(FURY); self.endturnnow();,Fury,COUNTDOWN,9,RED,,,,_fury,0,YES,YES,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
First Stand,At the start of the first|turn[;] gain [dodge]Dodge,,1,,Quick Thinking,,,YELLOW,change_power,noeffect,,none,0,YES,NO,,,,e.changecolour(~YELLOW~);,,if(turn == 1) { e.animate(~flashandshake~); e.changecolour(~GRAY~); inflictself(DODGE); sfx(~_dodge~); },,,,,,
First Stand_upgraded,At the start of the first|two turns[;] gain [dodge]Dodge,,1,,Quick Thinking,,,YELLOW,,,,none,0,YES,NO,,,,e.changecolour(~YELLOW~);,,if(turn == 1 # turn == 2) { e.animate(~flashandshake~); inflictself(DODGE); sfx(~_dodge~); } if(turn == 2) { e.changecolour(~GRAY~); },,,,,,
Buster Knife,Do [sword]<d6> damage|[gray](immune to errors)|[gray](Reuseable),,1,attack(d);,Pea Gun,MAX2|FREE1,,GRAY,increaserange,change_function,,_damage,-1,NO,NO,errorimmune,,,,,,,,,,,
Buster Knife_downgraded,Do [sword]<d6> damage|[gray](immune to errors)|[gray](Reuseable),,1,attack(d);,Pea Gun,MAX2|FREE1,,GRAY,,,,_damage,2,NO,NO,errorimmune,,,,,,,,,,,
Keyhole,Flip and split die[;]|flip results,,2,var s = split(7-d); givedice([7-s[0]|7-s[1]]);,Clone Device,NORMAL,,GREEN,reducesize,complicate,,splitdice,0,YES,NO,,,,,,,,,,,,
Keyhole_weakened,Flip and split die[;]|flip results,,1,var s = split(7-d); givedice([7-s[0]|7-s[1]]);,Clone Device,MAX3,,GREEN,,,,splitdice,0,YES,NO,,,,,,,,,,,,
Keyhole_deckupgrade,Split die[;]|flip results,,2,var s = split(d); givedice([7-s[0]|7-s[1]]);,Clone Device,NORMAL,,GREEN,,,,splitdice,0,YES,NO,,,,,,,,,,,,
Cookie Cake,Repeat next action twice,,1,inflictself(FURY|2);,Fury,COUNTDOWN,24,ORANGE,change_power,change_function,fury,_fury,0,YES,NO,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake_upgraded,Repeat next action twice,,1,inflictself(FURY|2);,Fury,COUNTDOWN,18,ORANGE,,,,_fury,0,YES,NO,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake_downgraded,Repeat next action,,1,inflictself(FURY);,Fury,COUNTDOWN,24,ORANGE,,,,_fury,0,YES,NO,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake_weakened,Repeat next action,,1,inflictself(FURY);,Fury,COUNTDOWN,18,ORANGE,,,,_fury,0,YES,NO,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake?,Repeat next action twice[;]|but disable it next turn,,1,inflictself(FURY|2);,Fury,COUNTDOWN,24,ORANGE,change_power,change_function,,_fury,0,YES,NO,alternateversion,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake?_upgraded,Repeat next action twice[;]|but disable it next turn,,1,inflictself(FURY|2);,Fury,COUNTDOWN,18,ORANGE,,,,_fury,0,YES,NO,alternateversion,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake?_downgraded,Repeat next action[;]but|disable it next turn,,1,inflictself(FURY);,Fury,COUNTDOWN,24,ORANGE,,,,_fury,0,YES,NO,alternateversion,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cookie Cake?_weakened,Repeat next action[;]but|disable it next turn,,1,inflictself(FURY);,Fury,COUNTDOWN,18,ORANGE,,,,_fury,0,YES,NO,alternateversion,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Big Knife,Do [sword]<d6> - 3[;] get dice - 3|[gray](Reuseable),1,1,if(d < 4){ self.textparticle(~No effect!~); } else { attack(d - 3); givedice(d - 3); },Underwhelm,MIN4,,RED,change_power,change_function,,_damage,3,NO,NO,,if(d < 4){ self.textparticle(~No effect!~); } else { givedice(d - 3); },,,,,,,,,,
Big Knife_upgraded,Do [sword]<d6> - 2[;] get dice - 2|[gray](Reuseable),,1,if(d < 3){ self.textparticle(~No effect!~); } else { attack(d - 2); givedice(d - 2); },Underwhelm,MIN4,,RED,,,,_damage,3,NO,NO,,if(d < 4){ self.textparticle(~No effect!~); } else { givedice(d - 2); },,,,,,,,,,
Big Knife_downgraded,Do [sword]<d6> - 4[;] get dice - 4|[gray](Reuseable),,1,if(d < 5){ self.textparticle(~No effect!~); } else { attack(d - 4); givedice(d - 4); },Underwhelm,MIN4,,RED,,,,_damage,3,NO,NO,,if(d < 4){ self.textparticle(~No effect!~); } else { givedice(d - 4); },,,,,,,,,,
Biohazard,Inflict [poison]<d6> poison|[gray](once per battle),,2,inflict(POISON|d);,Anthrax,NORMAL,,PURPLE,change_power,complicate,,_poison,0,NO,YES,,,,,,,,,,,,
Biohazard_upgraded,Inflict [poison]<d6> poison|[gray](cooldown of 3 turns),,2,inflict(POISON|d); e.setvar(~biocooldown~|3);,Anthrax,NORMAL,,PURPLE,,,,_poison,0,NO,NO,,,e.setvar(~biocooldown~[;]0);,e.setvar(~biocooldown~[;]0);,if(e.getvar(~biocooldown~) > 0) { e.availablethisturn = false; e.unavailabletext = ~On cooldown~; e.unavailabledetails = [~Available in ~ + e.getvar(~biocooldown~) + ~turns.~]; e.setvar(~biocooldown~[;]e.getvar(~biocooldown~) - 1); },,,,,,,
Berlin[comma] Massachusetts Key,Get a dice you already have|[gray](Reuseable),1,1,var seen = []; for (mydice in self.dicepool){ if (mydice.available() && mydice != actualdice[0] && seen[seen.indexOf(mydice.basevalue)] == null ){ seen.push(mydice.basevalue); } } if(seen.length > 0) { shuffle(seen); givedice(seen[0]); } else { givedice(d); self.textparticle(~Only 1 dice!~); },Light Switch,NORMAL,,PINK,change_power,removereusable,,none,2,YES,NO,,,,,,,,,,,,
Berlin[comma] Massachusetts Key_upgraded,Get a dice you already have|[gray](Reuseable),,1,var seen = []; for (mydice in self.dicepool){ if (mydice.available() && mydice != actualdice[0] && seen[seen.indexOf(mydice.basevalue)] == null ){ seen.push(mydice.basevalue); } } if(seen.length > 0) { shuffle(seen); givedice(seen[0]); } else { givedice(d); self.textparticle(~Only 1 dice!~); },Light Switch,NORMAL,,PINK,,,,none,3,YES,NO,,,,,,,,,,,,
Slim Jim,Split a <double> in two,1,1,if(d > 6) { self.textparticle(~stop using booster pack!!~); } else { if(d < 4){ var doub = d * 2; givedice(split(doub)| ~splitdice~); } else if(d == 4){ var r = rand([6|5|4|3|2]); givedice([r|8 - r]| ~splitdice~); } else if(d == 5){ var r = rand([6|5|4]); givedice([r|10 - r]| ~splitdice~); } else { givedice([6|6]| ~splitdice~); } },Trinity,MAX4,,GREEN,simplify,change_power,,none,0,YES,NO,,,,,,,,,,,,
Slim Jim_downgraded,Split a <d6> in two,,1,givedice(split(d)| ~splitdice~);,Trinity,MAX4,,GREEN,,,,none,0,YES,NO,,,,,,,,,,,,
Retreat,Convert half of your|[shield]shield to [heart]health,1,1,attackself(getstatusself(SHIELD) * -0.5); removestatusself(SHIELD|getstatusself(SHIELD) * 0.5);,Health Pack,COUNTDOWN,12,ORANGE,change_power,change_function,,_heal,0,YES,NO,,,,,,,,,,,,
Retreat_upgraded,Convert half of your|[shield]shield to [heart]health,,1,attackself(getstatusself(SHIELD) * -0.5); removestatusself(SHIELD|getstatusself(SHIELD) * 0.5);,Health Pack,COUNTDOWN,9,ORANGE,,,,_heal,0,YES,NO,,,,,,,,,,,,
Retreat_downgraded,Remove all your [shield]shield[;]|convert half to [heart]health,,1,attackself(getstatusself(SHIELD) * -0.5); removestatusself(SHIELD|ALL);,Health Pack,COUNTDOWN,12,ORANGE,,,,_heal,0,YES,NO,,,,,,,,,,,,
Retreat_weakened,Remove all your [shield]shield[;]|convert half to [heart]health,,1,attackself(getstatusself(SHIELD) * -0.5); removestatusself(SHIELD|ALL);,Health Pack,COUNTDOWN,9,ORANGE,,,,_heal,0,YES,NO,,,,,,,,,,,,
